	10000	5000	3000	2000	1500	1000	750	500	400	300	200	100	50	10
74	1	0.91752	0.78119	0.64821	0.56333	0.472	0.42	0.354	0.32	0.278	0.222	0.148	0.0915	0.02729
75	1	0.91173	0.77348	0.64033	0.55854	0.469	0.419	0.355	0.32	0.277	0.222	0.147	0.09042	0.02619
76	1	0.90835	0.76631	0.63509	0.55465	0.468	0.418	0.355	0.32	0.276	0.22	0.145	0.08825	0.02539
77	1	0.90278	0.76067	0.63123	0.55114	0.466	0.418	0.354	0.319	0.275	0.218	0.143	0.08512	0.02355
78	1	0.89947	0.75552	0.62452	0.5489	0.466	0.419	0.354	0.318	0.272	0.213	0.136	0.07986	0.01979
79	1	0.89752	0.75179	0.62297	0.54871	0.465	0.419	0.353	0.316	0.269	0.21	0.133	0.07681	0.01855
80	1	0.89714	0.7513	0.62324	0.54914	0.465	0.419	0.352	0.314	0.268	0.21	0.134	0.07753	0.01928
81	1	0.896	0.75114	0.625	0.54933	0.464	0.418	0.35	0.312	0.266	0.21	0.138	0.08149	0.02316
82	1	0.89356	0.751	0.62626	0.55013	0.464	0.418	0.348	0.311	0.266	0.212	0.141	0.08581	0.02528
83	1	0.89315	0.75205	0.62744	0.5511	0.463	0.416	0.347	0.31	0.266	0.214	0.145	0.09037	0.02911
84	1	0.89293	0.75296	0.62827	0.55179	0.463	0.415	0.346	0.31	0.267	0.216	0.148	0.09552	0.03322
85	1	0.89391	0.75376	0.62896	0.55196	0.462	0.414	0.345	0.31	0.269	0.219	0.151	0.10021	0.03682
86	1	0.8945	0.7538	0.62856	0.55073	0.462	0.413	0.345	0.31	0.27	0.222	0.152	0.10067	0.03799
87	1	0.89461	0.75376	0.62808	0.5487	0.46	0.411	0.344	0.31	0.271	0.224	0.152	0.10239	0.03911
88	1	0.89505	0.75365	0.62664	0.54725	0.46	0.41	0.344	0.311	0.273	0.226	0.155	0.10521	0.04068
89	1	0.89573	0.75414	0.62564	0.54621	0.459	0.41	0.345	0.313	0.276	0.229	0.157	0.10752	0.04103
90	1	0.89663	0.75514	0.6251	0.54554	0.458	0.409	0.345	0.314	0.278	0.232	0.159	0.10957	0.04147
91	1	0.8969	0.75476	0.62447	0.54498	0.458	0.408	0.343	0.311	0.274	0.226	0.152	0.10558	0.03712
92	1	0.89681	0.7536	0.62372	0.54452	0.457	0.407	0.342	0.31	0.272	0.223	0.149	0.09939	0.03475
93	1	0.89664	0.75372	0.62348	0.54408	0.456	0.405	0.34	0.308	0.27	0.22	0.146	0.09667	0.03347
94	1	0.89676	0.7541	0.62389	0.54369	0.455	0.403	0.336	0.303	0.264	0.212	0.139	0.09136	0.02819
95	1	0.89745	0.75453	0.62402	0.54272	0.453	0.401	0.334	0.301	0.261	0.209	0.136	0.08797	0.02642
96	1	0.89772	0.75508	0.62323	0.54154	0.451	0.399	0.333	0.3	0.261	0.21	0.138	0.08908	0.02666
97	1	0.8964	0.7561	0.6229	0.54025	0.449	0.396	0.33	0.297	0.258	0.206	0.136	0.08924	0.02689
98	1	0.8964	0.7561	0.6229	0.54025	0.449	0.396	0.33	0.297	0.258	0.206	0.136	0.08924	0.02689
99	1	0.8964	0.7561	0.6229	0.54025	0.449	0.396	0.33	0.297	0.258	0.206	0.136	0.08924	0.02689
